HCPCS,MOD,DESCRIPTION,CODE
83861,,Microfluid analy tears,X
83864,,Mucopolysaccharides,X
83866,,Mucopolysaccharides screen,X
83872,,Assay synovial fluid mucin,X
83873,,Assay of csf protein,X
83874,,Assay of myoglobin,X
83876,,Assay myeloperoxidase,X
83880,,Natriuretic peptide,X
83883,,Assay nephelometry not spec,X
83885,,Assay of nickel,X
83887,,Assay of nicotine,X
83890,,Molecule isolate,X
83891,,Molecule isolate nucleic,X
83892,,Molecular diagnostics,X
83893,,Molecule dot/slot/blot,X
83894,,Molecule gel electrophor,X
83896,,Molecular diagnostics,X
83897,,Molecule nucleic transfer,X
83898,,Molecule nucleic ampli each,X
83900,,Molecule nucleic ampli 2 seq,X
83901,,Molecule nucleic ampli addon,X
83902,,Molecular diagnostics,X
83903,,Molecule mutation scan,X
83904,,Molecule mutation identify,X
83905,,Molecule mutation identify,X
83906,,Molecule mutation identify,X
83907,,Lyse cells for nucleic ext,X
83908,,Nucleic acid signal ampli,X
83909,,Nucleic acid high resolute,X
83912,,Genetic examination,X
83912,26,Genetic examination,A
83913,,Molecular rna stabilization,X
83914,,Mutation ident ola/sbce/aspe,X
83915,,Assay of nucleotidase,X
83916,,Oligoclonal bands,X
83918,,Organic acids total quant,X
83919,,Organic acids qual each,X
83921,,Organic acid single quant,X
83925,,Assay of opiates,X
83930,,Assay of blood osmolality,X
83935,,Assay of urine osmolality,X
83937,,Assay of osteocalcin,X
83945,,Assay of oxalate,X
83950,,Oncoprotein her-2/neu,X
83951,,Oncoprotein dcp,X
83970,,Assay of parathormone,X
83986,,Assay ph body fluid nos,X
83987,,Exhaled breath condensate,X
83992,,Assay for phencyclidine,X
83993,,Assay for calprotectin fecal,X
84022,,Assay of phenothiazine,X
84030,,Assay of blood pku,X
84035,,Assay of phenylketones,X
84060,,Assay acid phosphatase,X
84061,,Phosphatase forensic exam,X
84066,,Assay prostate phosphatase,X
84075,,Assay alkaline phosphatase,X
84078,,Assay alkaline phosphatase,X
84080,,Assay alkaline phosphatases,X
84081,,Amniotic fluid enzyme test,X
84085,,Assay of rbc pg6d enzyme,X
84087,,Assay phosphohexose enzymes,X
84100,,Assay of phosphorus,X
84105,,Assay of urine phosphorus,X
84106,,Test for porphobilinogen,X
84110,,Assay of porphobilinogen,X
84112,,Placenta alpha micro ig c/v,X
84119,,Test urine for porphyrins,X
84120,,Assay of urine porphyrins,X
84126,,Assay of feces porphyrins,X
84127,,Assay of feces porphyrins,X
84132,,Assay of serum potassium,X
84133,,Assay of urine potassium,X
84134,,Assay of prealbumin,X
84135,,Assay of pregnanediol,X
84138,,Assay of pregnanetriol,X
84140,,Assay of pregnenolone,X
84143,,Assay of 17-hydroxypregneno,X
84144,,Assay of progesterone,X
84145,,Procalcitonin (pct),X
84146,,Assay of prolactin,X
84150,,Assay of prostaglandin,X
84152,,Assay of psa complexed,X
84153,,Assay of psa total,X
84154,,Assay of psa free,X
84155,,Assay of protein serum,X
84156,,Assay of protein urine,X
84157,,Assay of protein other,X
84160,,Assay of protein any source,X
84163,,Pappa serum,X
84165,,Protein e-phoresis serum,X
84165,26,Protein e-phoresis serum,A
84166,,Protein e-phoresis/urine/csf,X
84166,26,Protein e-phoresis/urine/csf,A
84181,,Western blot test,X
84181,26,Western blot test,A
84182,,Protein western blot test,X
84182,26,Protein western blot test,A
84202,,Assay RBC protoporphyrin,X
84203,,Test RBC protoporphyrin,X
84206,,Assay of proinsulin,X
84207,,Assay of vitamin b-6,X
84210,,Assay of pyruvate,X
84220,,Assay of pyruvate kinase,X
84228,,Assay of quinine,X
84233,,Assay of estrogen,X
84234,,Assay of progesterone,X
84235,,Assay of endocrine hormone,X
84238,,Assay nonendocrine receptor,X
84244,,Assay of renin,X
84252,,Assay of vitamin b-2,X
84255,,Assay of selenium,X
84260,,Assay of serotonin,X
84270,,Assay of sex hormone globul,X
84275,,Assay of sialic acid,X
84285,,Assay of silica,X
84295,,Assay of serum sodium,X
84300,,Assay of urine sodium,X
84302,,Assay of sweat sodium,X
84305,,Assay of somatomedin,X
84307,,Assay of somatostatin,X
84311,,Spectrophotometry,X
84315,,Body fluid specific gravity,X
84375,,Chromatogram assay sugars,X
84376,,Sugars single qual,X
84377,,Sugars multiple qual,X
84378,,Sugars single quant,X
84379,,Sugars multiple quant,X
84392,,Assay of urine sulfate,X
84402,,Assay of testosterone,X
84403,,Assay of total testosterone,X
84425,,Assay of vitamin b-1,X
84430,,Assay of thiocyanate,X
84431,,Thromboxane urine,X
84432,,Assay of thyroglobulin,X
84436,,Assay of total thyroxine,X
84437,,Assay of neonatal thyroxine,X
84439,,Assay of free thyroxine,X
84442,,Assay of thyroid activity,X
84443,,Assay thyroid stim hormone,X
84445,,Assay of tsi,X
84446,,Assay of vitamin e,X
84449,,Assay of transcortin,X
84450,,Transferase (AST) (SGOT),X
84460,,Alanine amino (ALT) (SGPT),X
84466,,Assay of transferrin,X
84478,,Assay of triglycerides,X
84479,,Assay of thyroid (t3 or t4),X
84480,,Assay triiodothyronine (t3),X
84481,,Free assay (FT-3),X
84482,,T3 reverse,X
84484,,Assay of troponin quant,X
84485,,Assay duodenal fluid trypsin,X
84488,,Test feces for trypsin,X
84490,,Assay of feces for trypsin,X
84510,,Assay of tyrosine,X
84512,,Assay of troponin qual,X
84520,,Assay of urea nitrogen,X
84525,,Urea nitrogen semi-quant,X
84540,,Assay of urine/urea-n,X
84545,,Urea-N clearance test,X
84550,,Assay of blood/uric acid,X
84560,,Assay of urine/uric acid,X
84577,,Assay of feces/urobilinogen,X
84578,,Test urine urobilinogen,X
84580,,Assay of urine urobilinogen,X
84583,,Assay of urine urobilinogen,X
84585,,Assay of urine vma,X
84586,,Assay of vip,X
84588,,Assay of vasopressin,X
84590,,Assay of vitamin a,X
84591,,Assay of nos vitamin,X
84597,,Assay of vitamin k,X
84600,,Assay of volatiles,X
84620,,Xylose tolerance test,X
84630,,Assay of zinc,X
84681,,Assay of c-peptide,X
84702,,Chorionic gonadotropin test,X
84703,,Chorionic gonadotropin assay,X
84704,,Hcg free betachain test,X
84830,,Ovulation tests,X
84999,,Clinical chemistry test,X
85002,,Bleeding time test,X
85004,,Automated diff wbc count,X
85007,,Bl smear w/diff wbc count,X
85008,,Bl smear w/o diff wbc count,X
85009,,Manual diff wbc count b-coat,X
85013,,Spun microhematocrit,X
85014,,Hematocrit,X
85018,,Hemoglobin,X
85025,,Complete cbc w/auto diff wbc,X
85027,,Complete cbc automated,X
85032,,Manual cell count each,X
85041,,Automated rbc count,X
85044,,Manual reticulocyte count,X
85045,,Automated reticulocyte count,X
85046,,Reticyte/hgb concentrate,X
85048,,Automated leukocyte count,X
85049,,Automated platelet count,X
85055,,Reticulated platelet assay,X
85060,,Blood smear interpretation,A
85097,,Bone marrow interpretation,A
85130,,Chromogenic substrate assay,X
85170,,Blood clot retraction,X
85175,,Blood clot lysis time,X
85210,,Blood clot factor II test,X
85220,,Blood clot factor V test,X
85230,,Blood clot factor VII test,X
85240,,Blood clot factor VIII test,X
85244,,Blood clot factor VIII test,X
85245,,Blood clot factor VIII test,X
85246,,Blood clot factor VIII test,X
85247,,Blood clot factor VIII test,X
85250,,Blood clot factor IX test,X
85260,,Blood clot factor X test,X
85270,,Blood clot factor XI test,X
85280,,Blood clot factor XII test,X
85290,,Blood clot factor XIII test,X
85291,,Blood clot factor XIII test,X
85292,,Blood clot factor assay,X
85293,,Blood clot factor assay,X
85300,,Antithrombin III test,X
85301,,Antithrombin III test,X
85302,,Blood clot inhibitor antigen,X
85303,,Blood clot inhibitor test,X
85305,,Blood clot inhibitor assay,X
85306,,Blood clot inhibitor test,X
85307,,Assay activated protein c,X
85335,,Factor inhibitor test,X
85337,,Thrombomodulin,X
85345,,Coagulation time,X
85347,,Coagulation time,X
85348,,Coagulation time,X
85360,,Euglobulin lysis,X
85362,,Fibrin degradation products,X
85366,,Fibrinogen test,X
85370,,Fibrinogen test,X
85378,,Fibrin degrade semiquant,X
85379,,Fibrin degradation quant,X
85380,,Fibrin degradation vte,X
85384,,Fibrinogen,X
85385,,Fibrinogen,X
85390,,Fibrinolysins screen,X
85390,26,Fibrinolysins screen,A
85396,,Clotting assay whole blood,A
85397,,Clotting funct activity,X
85400,,Fibrinolytic plasmin,X
85410,,Fibrinolytic antiplasmin,X
85415,,Fibrinolytic plasminogen,X
85420,,Fibrinolytic plasminogen,X
85421,,Fibrinolytic plasminogen,X
85441,,Heinz bodies direct,X
85445,,Heinz bodies induced,X
85460,,Hemoglobin fetal,X
85461,,Hemoglobin fetal,X
85475,,Hemolysin,X
85520,,Heparin assay,X
85525,,Heparin neutralization,X
85530,,Heparin-protamine tolerance,X
85536,,Iron stain peripheral blood,X
85540,,Wbc alkaline phosphatase,X
85547,,RBC mechanical fragility,X
85549,,Muramidase,X
85555,,RBC osmotic fragility,X
85557,,RBC osmotic fragility,X
85576,,Blood platelet aggregation,X
85576,26,Blood platelet aggregation,A
85597,,Phospholipid pltlt neutraliz,X
85598,,Hexagnal phosph pltlt neutrl,X
85610,,Prothrombin time,X
85611,,Prothrombin test,X
85612,,Viper venom prothrombin time,X
85613,,Russell viper venom diluted,X
85635,,Reptilase test,X
85651,,Rbc sed rate nonautomated,X
85652,,Rbc sed rate automated,X
85660,,RBC sickle cell test,X
85670,,Thrombin time plasma,X
85675,,Thrombin time titer,X
85705,,Thromboplastin inhibition,X
85730,,Thromboplastin time partial,X
85732,,Thromboplastin time partial,X
85810,,Blood viscosity examination,X
85999,,Hematology procedure,X
86000,,Agglutinins febrile,X
86001,,Allergen specific igg,X
86003,,Allergen specific IgE,X
86005,,Allergen specific IgE,X
86021,,WBC antibody identification,X
86022,,Platelet antibodies,X
86023,,Immunoglobulin assay,X
86038,,Antinuclear antibodies,X
86039,,Antinuclear antibodies (ANA),X
86060,,Antistreptolysin o titer,X
86063,,Antistreptolysin o screen,X
86077,,Physician blood bank service,A
86078,,Physician blood bank service,A
86079,,Physician blood bank service,A
86140,,C-reactive protein,X
86141,,C-reactive protein hs,X
86146,,Glycoprotein antibody,X
86147,,Cardiolipin antibody,X
86148,,Phospholipid antibody,X
86155,,Chemotaxis assay,X
86156,,Cold agglutinin screen,X
86157,,Cold agglutinin titer,X
86160,,Complement antigen,X
86161,,Complement/function activity,X
86162,,Complement total (ch50),X
86171,,Complement fixation each,X
86185,,Counterimmunoelectrophoresis,X
86200,,Ccp antibody,X
86215,,Deoxyribonuclease antibody,X
86225,,DNA antibody,X
86226,,Dna antibody single strand,X
86235,,Nuclear antigen antibody,X
86243,,Fc receptor,X
86255,,Fluorescent antibody screen,X
86255,26,Fluorescent antibody screen,A
86256,,Fluorescent antibody titer,X
86256,26,Fluorescent antibody titer,A
86277,,Growth hormone antibody,X
86280,,Hemagglutination inhibition,X
86294,,Immunoassay tumor qual,X
86300,,Immunoassay tumor ca 15-3,X
86301,,Immunoassay tumor ca 19-9,X
86304,,Immunoassay tumor ca 125,X
86305,,Human epididymis protein 4,X
86308,,Heterophile antibodies,X
86309,,Heterophile antibodies,X
86310,,Heterophile antibodies,X
86316,,Immunoassay tumor other,X
86317,,Immunoassay infectious agent,X
86318,,Immunoassay infectious agent,X
86320,,Serum immunoelectrophoresis,X
86320,26,Serum immunoelectrophoresis,A
86325,,Other immunoelectrophoresis,X
86325,26,Other immunoelectrophoresis,A
86327,,Immunoelectrophoresis assay,X
86327,26,Immunoelectrophoresis assay,A
86329,,Immunodiffusion,X
86331,,Immunodiffusion ouchterlony,X
86332,,Immune complex assay,X
86334,,Immunofix e-phoresis serum,X
86334,26,Immunofix e-phoresis serum,A
86335,,Immunfix e-phorsis/urine/csf,X
86335,26,Immunfix e-phorsis/urine/csf,A
86336,,Inhibin A,X
86337,,Insulin antibodies,X
86340,,Intrinsic factor antibody,X
86341,,Islet cell antibody,X
86343,,Leukocyte histamine release,X
86344,,Leukocyte phagocytosis,X
86352,,Cell function assay w/stim,X
86353,,Lymphocyte transformation,X
86355,,B cells total count,X
86356,,Mononuclear cell antigen,X
86357,,Nk cells total count,X
86359,,T cells total count,X
86360,,T cell absolute count/ratio,X
86361,,T cell absolute count,X
86367,,Stem cells total count,X
86376,,Microsomal antibody,X
86378,,Migration inhibitory factor,X
86382,,Neutralization test viral,X
86384,,Nitroblue tetrazolium dye,X
86386,,Nuclear matrix protein 22,X
86403,,Particle agglutination test,X
86406,,Particle agglutination test,X
86430,,Rheumatoid factor test,X
86431,,Rheumatoid factor quant,X
86480,,Tb test cell immun measure,X
86481,,Tb ag response t-cell susp,X
86485,,Skin test candida,C
86486,,Skin test nos antigen,A
86490,,Coccidioidomycosis skin test,A
86510,,Histoplasmosis skin test,A
86580,,TB intradermal test,A
86590,,Streptokinase antibody,X
86592,,Syphilis test non-trep qual,X
86593,,Syphilis test non-trep quant,X
86602,,Antinomyces antibody,X
86603,,Adenovirus antibody,X
86606,,Aspergillus antibody,X
86609,,Bacterium antibody,X
86611,,Bartonella antibody,X
86612,,Blastomyces antibody,X
86615,,Bordetella antibody,X
86617,,Lyme disease antibody,X
86618,,Lyme disease antibody,X
86619,,Borrelia antibody,X
86622,,Brucella antibody,X
86625,,Campylobacter antibody,X
86628,,Candida antibody,X
86631,,Chlamydia antibody,X
86632,,Chlamydia igm antibody,X
86635,,Coccidioides antibody,X
86638,,Q fever antibody,X
86641,,Cryptococcus antibody,X
86644,,CMV antibody,X
86645,,Cmv antibody igm,X
86648,,Diphtheria antibody,X
86651,,Encephalitis antibody,X
86652,,Encephalitis antibody,X
86653,,Encephalitis antibody,X
86654,,Encephalitis antibody,X
86658,,Enterovirus antibody,X
86663,,Epstein-barr antibody,X
86664,,Epstein-barr antibody,X
86665,,Epstein-barr antibody,X
86666,,Ehrlichia antibody,X
86668,,Francisella tularensis,X
86671,,Fungus antibody,X
86674,,Giardia lamblia antibody,X
86677,,Helicobacter pylori,X
86682,,Helminth antibody,X
86684,,Hemophilus influenza,X
86687,,Htlv-i antibody,X
86688,,Htlv-ii antibody,X
86689,,HTLV/HIV confirmatory test,X
86692,,Hepatitis delta agent,X
86694,,Herpes simplex test,X
86695,,Herpes simplex test,X
86696,,Herpes simplex type 2,X
86698,,Histoplasma,X
86701,,HIV-1,X
86702,,HIV-2,X
86703,,Hiv-1/hiv-2 single result,X
86704,,Hep b core antibody total,X
86705,,Hep b core antibody igm,X
86706,,Hep b surface antibody,X
86707,,Hep be antibody,X
86708,,Hep a antibody total,X
86709,,Hep a antibody igm,X
86710,,Influenza virus antibody,X
86713,,Legionella antibody,X
86717,,Leishmania antibody,X
86720,,Leptospira antibody,X
86723,,Listeria monocytogenes ab,X
86727,,Lymph choriomeningitis ab,X
86729,,Lympho venereum antibody,X
86732,,Mucormycosis antibody,X
86735,,Mumps antibody,X
86738,,Mycoplasma antibody,X
86741,,Neisseria meningitidis,X
86744,,Nocardia antibody,X
86747,,Parvovirus antibody,X
86750,,Malaria antibody,X
86753,,Protozoa antibody nos,X
86756,,Respiratory virus antibody,X
86757,,Rickettsia antibody,X
86759,,Rotavirus antibody,X
86762,,Rubella antibody,X
86765,,Rubeola antibody,X
86768,,Salmonella antibody,X
86771,,Shigella antibody,X
86774,,Tetanus antibody,X
86777,,Toxoplasma antibody,X
86778,,Toxoplasma antibody igm,X
86780,,Treponema pallidum,X
86784,,Trichinella antibody,X
86787,,Varicella-zoster antibody,X
86788,,West nile virus ab igm,X
86789,,West nile virus antibody,X
86790,,Virus antibody nos,X
86793,,Yersinia antibody,X
86800,,Thyroglobulin antibody,X
86803,,Hepatitis c ab test,X
86804,,Hep c ab test confirm,X
86805,,Lymphocytotoxicity assay,X
86806,,Lymphocytotoxicity assay,X
86807,,Cytotoxic antibody screening,X
86808,,Cytotoxic antibody screening,X
86812,,Hla typing a b or c,X
86813,,Hla typing a b or c,X
86816,,Hla typing dr/dq,X
86817,,Hla typing dr/dq,X
86821,,Lymphocyte culture mixed,X
86822,,Lymphocyte culture primed,X
86825,,Hla x-math non-cytotoxic,X
86826,,Hla x-match noncytotoxc addl,X
86849,,Immunology procedure,X
86850,,RBC antibody screen,X
86860,,RBC antibody elution,X
86870,,RBC antibody identification,X
86880,,Coombs test direct,X
86885,,Coombs test indirect qual,X
86886,,Coombs test indirect titer,X
86890,,Autologous blood process,X
86891,,Autologous blood op salvage,X
86900,,Blood typing abo,X
86901,,Blood typing rh (d),X
86902,,Blood type antigen donor ea,X
86904,,Blood typing patient serum,X
86905,,Blood typing rbc antigens,X
86906,,Blood typing rh phenotype,X
86910,,Blood typing paternity test,N
86911,,Blood typing antigen system,N
86920,,Compatibility test spin,X
86921,,Compatibility test incubate,X
86922,,Compatibility test antiglob,X
86923,,Compatibility test electric,X
86927,,Plasma fresh frozen,X
86930,,Frozen blood prep,X
86931,,Frozen blood thaw,X
86932,,Frozen blood freeze/thaw,X
86940,,Hemolysins/agglutinins auto,X
86941,,Hemolysins/agglutinins,X
86945,,Blood product/irradiation,X
86950,,Leukacyte transfusion,X
86960,,Vol reduction of blood/prod,X
86965,,Pooling blood platelets,X
86970,,RBC pretreatment,X
86971,,RBC pretreatment,X
86972,,RBC pretreatment,X
86975,,Rbc pretreatment serum,X
86976,,Rbc pretreatment serum,X
86977,,Rbc pretreatment serum,X
86978,,Rbc pretreatment serum,X
86985,,Split blood or products,X
86999,,Transfusion procedure,X
87001,,Small animal inoculation,X
87003,,Small animal inoculation,X
87015,,Specimen concentration,X
87040,,Blood culture for bacteria,X
87045,,Feces culture bacteria,X
87046,,Stool cultr bacteria each,X
87070,,Culture bacteria other,X
87071,,Culture bacteri aerobic othr,X
87073,,Culture bacteria anaerobic,X
87075,,Cultr bacteria except blood,X
87076,,Culture anaerobe ident each,X
87077,,Culture aerobic identify,X
87081,,Culture screen only,X
87084,,Culture of specimen by kit,X
87086,,Urine culture/colony count,X
87088,,Urine bacteria culture,X
87101,,Skin fungi culture,X
87102,,Fungus isolation culture,X
87103,,Blood fungus culture,X
87106,,Fungi identification yeast,X
87107,,Fungi identification mold,X
87109,,Mycoplasma,X
87110,,Chlamydia culture,X
87116,,Mycobacteria culture,X
87118,,Mycobacteric identification,X
87140,,Culture type immunofluoresc,X
87143,,Culture typing glc/hplc,X
87147,,Culture type immunologic,X
87149,,Dna/rna direct probe,X
87150,,Dna/rna amplified probe,X
87152,,Culture type pulse field gel,X
87153,,Dna/rna sequencing,X
87158,,Culture typing added method,X
87164,,Dark field examination,X
87164,26,Dark field examination,A
87166,,Dark field examination,X
87168,,Macroscopic exam arthropod,X
87169,,Macroscopic exam parasite,X
87172,,Pinworm exam,X
87176,,Tissue homogenization cultr,X
87177,,Ova and parasites smears,X
87181,,Microbe susceptible diffuse,X
87184,,Microbe susceptible disk,X
87185,,Microbe susceptible enzyme,X
87186,,Microbe susceptible mic,X
87187,,Microbe susceptible mlc,X
87188,,Microbe suscept macrobroth,X
87190,,Microbe suscept mycobacteri,X
87197,,Bactericidal level serum,X
87205,,Smear gram stain,X
87206,,Smear fluorescent/acid stai,X
87207,,Smear special stain,X
87207,26,Smear special stain,A
87209,,Smear complex stain,X
87210,,Smear wet mount saline/ink,X
87220,,Tissue exam for fungi,X
87230,,Assay toxin or antitoxin,X
87250,,Virus inoculate eggs/animal,X
87252,,Virus inoculation tissue,X
87253,,Virus inoculate tissue addl,X
87254,,Virus inoculation shell via,X
87255,,Genet virus isolate hsv,X
87260,,Adenovirus ag if,X
87265,,Pertussis ag if,X
87267,,Enterovirus antibody dfa,X
87269,,Giardia ag if,X
87270,,Chlamydia trachomatis ag if,X
87271,,Cytomegalovirus dfa,X
87272,,Cryptosporidium ag if,X
87273,,Herpes simplex 2 ag if,X
87274,,Herpes simplex 1 ag if,X
87275,,Influenza b ag if,X
87276,,Influenza a ag if,X
87277,,Legionella micdadei ag if,X
87278,,Legion pneumophilia ag if,X
87279,,Parainfluenza ag if,X
87280,,Respiratory syncytial ag if,X
87281,,Pneumocystis carinii ag if,X
87283,,Rubeola ag if,X
87285,,Treponema pallidum ag if,X
87290,,Varicella zoster ag if,X
87299,,Antibody detection nos if,X
87300,,Ag detection polyval if,X
87301,,Adenovirus ag eia,X
87305,,Aspergillus ag eia,X
87320,,Chylmd trach ag eia,X
87324,,Clostridium ag eia,X
87327,,Cryptococcus neoform ag eia,X
87328,,Cryptosporidium ag eia,X
87329,,Giardia ag eia,X
87332,,Cytomegalovirus ag eia,X
87335,,E coli 0157 ag eia,X
87336,,Entamoeb hist dispr ag eia,X
87337,,Entamoeb hist group ag eia,X
87338,,Hpylori stool eia,X
87339,,H pylori ag eia,X
87340,,Hepatitis b surface ag eia,X
87341,,Hepatitis b surface ag eia,X
87350,,Hepatitis be ag eia,X
87380,,Hepatitis delta ag eia,X
87385,,Histoplasma capsul ag eia,X
87389,,Hiv-1 ag w/hiv-1 & hiv-2 ab,X
87390,,Hiv-1 ag eia,X
87391,,Hiv-2 ag eia,X
87400,,Influenza a/b ag eia,X
87420,,Resp syncytial ag eia,X
87425,,Rotavirus ag eia,X
87427,,Shiga-like toxin ag eia,X
87430,,Strep a ag eia,X
87449,,Ag detect nos eia mult,X
87450,,Ag detect nos eia single,X
87451,,Ag detect polyval eia mult,X
87470,,Bartonella dna dir probe,X
87471,,Bartonella dna amp probe,X
87472,,Bartonella dna quant,X
87475,,Lyme dis dna dir probe,X
87476,,Lyme dis dna amp probe,X
87477,,Lyme dis dna quant,X
87480,,Candida dna dir probe,X
87481,,Candida dna amp probe,X
87482,,Candida dna quant,X
87485,,Chylmd pneum dna dir probe,X
87486,,Chylmd pneum dna amp probe,X
87487,,Chylmd pneum dna quant,X
87490,,Chylmd trach dna dir probe,X
87491,,Chylmd trach dna amp probe,X
87492,,Chylmd trach dna quant,X
87493,,C diff amplified probe,X
87495,,Cytomeg dna dir probe,X
87496,,Cytomeg dna amp probe,X
87497,,Cytomeg dna quant,X
87498,,Enterovirus dna amp probe,X
87500,,Vanomycin dna amp probe,X
87501,,Influenza dna amp prob 1+,X
87502,,Influenza dna amp probe,X
87503,,Influenza dna amp prob addl,X
87510,,Gardner vag dna dir probe,X
87511,,Gardner vag dna amp probe,X
87512,,Gardner vag dna quant,X
87515,,Hepatitis b dna dir probe,X
87516,,Hepatitis b dna amp probe,X
87517,,Hepatitis b dna quant,X
87520,,Hepatitis c rna dir probe,X
87521,,Hepatitis c rna amp probe,X
87522,,Hepatitis c rna quant,X
87525,,Hepatitis g dna dir probe,X
87526,,Hepatitis g dna amp probe,X
87527,,Hepatitis g dna quant,X
87528,,Hsv dna dir probe,X
87529,,Hsv dna amp probe,X
87530,,Hsv dna quant,X
87531,,Hhv-6 dna dir probe,X
87532,,Hhv-6 dna amp probe,X
87533,,Hhv-6 dna quant,X
87534,,Hiv-1 dna dir probe,X
87535,,Hiv-1 dna amp probe,X
87536,,Hiv-1 dna quant,X
87537,,Hiv-2 dna dir probe,X
87538,,Hiv-2 dna amp probe,X
87539,,Hiv-2 dna quant,X
87540,,Legion pneumo dna dir prob,X
87541,,Legion pneumo dna amp prob,X
87542,,Legion pneumo dna quant,X
87550,,Mycobacteria dna dir probe,X
87551,,Mycobacteria dna amp probe,X
87552,,Mycobacteria dna quant,X
87555,,M.tuberculo dna dir probe,X
87556,,M.tuberculo dna amp probe,X
87557,,M.tuberculo dna quant,X
87560,,M.avium-intra dna dir prob,X
87561,,M.avium-intra dna amp prob,X
87562,,M.avium-intra dna quant,X
87580,,M.pneumon dna dir probe,X
87581,,M.pneumon dna amp probe,X
87582,,M.pneumon dna quant,X
87590,,N.gonorrhoeae dna dir prob,X
87591,,N.gonorrhoeae dna amp prob,X
87592,,N.gonorrhoeae dna quant,X
87620,,Hpv dna dir probe,X
87621,,Hpv dna amp probe,X
87622,,Hpv dna quant,X
87640,,Staph a dna amp probe,X
87641,,Mr-staph dna amp probe,X
87650,,Strep a dna dir probe,X
87651,,Strep a dna amp probe,X
87652,,Strep a dna quant,X
87653,,Strep b dna amp probe,X
87660,,Trichomonas vagin dir probe,X
87797,,Detect agent nos dna dir,X
87798,,Detect agent nos dna amp,X
87799,,Detect agent nos dna quant,X
87800,,Detect agnt mult dna direc,X
87801,,Detect agnt mult dna ampli,X
87802,,Strep b assay w/optic,X
87803,,Clostridium toxin a w/optic,X
87804,,Influenza assay w/optic,X
87807,,Rsv assay w/optic,X
87808,,Trichomonas assay w/optic,X
87809,,Adenovirus assay w/optic,X
87810,,Chylmd trach assay w/optic,X
87850,,N. gonorrhoeae assay w/optic,X
87880,,Strep a assay w/optic,X
87899,,Agent nos assay w/optic,X
87900,,Phenotype infect agent drug,X
87901,,Genotype dna hiv reverse t,X
87902,,Genotype dna hepatitis c,X
87903,,Phenotype dna hiv w/culture,X
87904,,Phenotype dna hiv w/clt add,X
87905,,Sialidase enzyme assay,X
87906,,Genotype dna hiv reverse t,X
87999,,Microbiology procedure,X
88000,,Autopsy (necropsy) gross,N
88005,,Autopsy (necropsy) gross,N
88007,,Autopsy (necropsy) gross,N
88012,,Autopsy (necropsy) gross,N
88014,,Autopsy (necropsy) gross,N
88016,,Autopsy (necropsy) gross,N
88020,,Autopsy (necropsy) complete,N
88025,,Autopsy (necropsy) complete,N
88027,,Autopsy (necropsy) complete,N
88028,,Autopsy (necropsy) complete,N
88029,,Autopsy (necropsy) complete,N
88036,,Limited autopsy,N
88037,,Limited autopsy,N
88040,,Forensic autopsy (necropsy),N
88045,,Coroners autopsy (necropsy),N
88099,,Necropsy (autopsy) procedure,N
88104,,Cytopath fl nongyn smears,A
88104,TC,Cytopath fl nongyn smears,A
88104,26,Cytopath fl nongyn smears,A
88106,,Cytopath fl nongyn filter,A
88106,TC,Cytopath fl nongyn filter,A
88106,26,Cytopath fl nongyn filter,A
88108,,Cytopath concentrate tech,A
88108,TC,Cytopath concentrate tech,A
88108,26,Cytopath concentrate tech,A
88112,,Cytopath cell enhance tech,A
88112,TC,Cytopath cell enhance tech,A
88112,26,Cytopath cell enhance tech,A
88120,,Cytp urne 3-5 probes ea spec,A
88120,TC,Cytp urne 3-5 probes ea spec,A
88120,26,Cytp urne 3-5 probes ea spec,A
88121,,Cytp urine 3-5 probes cmptr,A
88121,TC,Cytp urine 3-5 probes cmptr,A
88121,26,Cytp urine 3-5 probes cmptr,A
88125,,Forensic cytopathology,A
88125,TC,Forensic cytopathology,A
88125,26,Forensic cytopathology,A
88130,,Sex chromatin identification,X
88140,,Sex chromatin identification,X
88141,,Cytopath c/v interpret,A
88142,,Cytopath c/v thin layer,X
88143,,Cytopath c/v thin layer redo,X
88147,,Cytopath c/v automated,X
88148,,Cytopath c/v auto rescreen,X
88150,,Cytopath c/v manual,X
88152,,Cytopath c/v auto redo,X
88153,,Cytopath c/v redo,X
88154,,Cytopath c/v select,X
88155,,Cytopath c/v index add-on,X
88160,,Cytopath smear other source,A
88160,TC,Cytopath smear other source,A
88160,26,Cytopath smear other source,A
88161,,Cytopath smear other source,A
88161,TC,Cytopath smear other source,A
88161,26,Cytopath smear other source,A
88162,,Cytopath smear other source,A
88162,TC,Cytopath smear other source,A
88162,26,Cytopath smear other source,A
88164,,Cytopath tbs c/v manual,X
88165,,Cytopath tbs c/v redo,X
88166,,Cytopath tbs c/v auto redo,X
88167,,Cytopath tbs c/v select,X
88172,,Cytp dx eval fna 1st ea site,A
88172,TC,Cytp dx eval fna 1st ea site,A
88172,26,Cytp dx eval fna 1st ea site,A
88173,,Cytopath eval fna report,A
88173,TC,Cytopath eval fna report,A
88173,26,Cytopath eval fna report,A
88174,,Cytopath c/v auto in fluid,X
88175,,Cytopath c/v auto fluid redo,X
88177,,Cytp fna eval ea addl,A
88177,TC,Cytp fna eval ea addl,A
88177,26,Cytp fna eval ea addl,A
88182,,Cell marker study,A
88182,TC,Cell marker study,A
88182,26,Cell marker study,A
